Frequency,Attenuation,INFO1,INFO2
30000,-34.8263508013281,! FILETYPE CSV,
5034974.97497497,-47.7503958626459,! VERSION 1.0,1
10039949.9499499,-47.8897660142331,! TIMESTAMP Tuesday, 04 February 2020 15:06:34
15044924.9249249,-49.3066108210727,! NAME Agilent Technologies,
20049899.8998999,-48.3444059669354,! MODEL N9916A,
25054874.8748749,-60.0406050172902,! SERIAL MY53103049,
30059849.8498498,-51.8180391801642,! FIRMWARE_VERSION A.07.32,
35064824.8248248,-55.4281098808029,! GPS_LATITUDE ,
40069799.7997998,-57.0043913743778,! GPS_LONGITUDE ,
45074774.7747748,-57.839320826293,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
50079749.7497497,-49.0617370628752,! GPS_SECS_SINCE_LAST_READ 0,
55084724.7247247,-52.1030727860398,! CHECKSUM 0622608785,
60089699.6996997,-55.2974989335001,! CORRECTION1 Rdy,
65094674.6746747,-49.8406421154743,! DATA Freq,S21
70099649.6496496,-46.3329272219237,! FREQ UNIT Hz,
75104624.6246246,-50.1678311137401,! DATA UNIT dB,
80109599.5995996,-50.074642645727,BEGIN,
85114574.5745746,-44.1791244701197,,
90119549.5495495,-45.2858635135011,,
95124524.5245245,-68.6189939831139,,
100129499.499499,-59.29882323337,,
105134474.474474,-46.7246150265893,,
110139449.449449,-49.2345978074971,,
115144424.424424,-50.6088878797184,,
120149399.399399,-49.709466351103,,
125154374.374374,-47.480485064249,,
130159349.349349,-45.9543913354494,,
135164324.324324,-45.5062219276402,,
140169299.299299,-47.2161399963775,,
145174274.274274,-45.397089729002,,
150179249.249249,-46.1828255227886,,
155184224.224224,-50.6644746926013,,
160189199.199199,-52.0090372727143,,
165194174.174174,-52.3378508606532,,
170199149.149149,-41.9690722126486,,
175204124.124124,-40.6405548101884,,
180209099.099099,-39.9783573654667,,
185214074.074074,-40.1031786847888,,
190219049.049049,-40.8243423613953,,
195224024.024024,-41.2943819884101,,
200228998.998999,-40.4787351304903,,
205233973.973974,-44.6045308098961,,
210238948.948949,-39.1489455361118,,
215243923.923924,-41.160428228895,,
220248898.898899,-41.622632005062,,
225253873.873874,-41.6780983507887,,
230258848.848849,-41.6076197848624,,
235263823.823824,-40.9934877352359,,
240268798.798799,-49.8566389146079,,
245273773.773774,-44.7529962267853,,
250278748.748749,-38.2326357536749,,
255283723.723724,-39.9823308253975,,
260288698.698699,-45.8580120194417,,
265293673.673674,-39.3737855171687,,
270298648.648649,-48.9464067994905,,
275303623.623624,-54.2499877127856,,
280308598.598599,-42.1844549406149,,
285313573.573574,-39.5052026227895,,
290318548.548549,-38.6661350726149,,
295323523.523524,-40.7366908170102,,
300328498.498499,-41.2102923732023,,
305333473.473474,-43.882697011777,,
310338448.448449,-43.149256145408,,
315343423.423424,-49.7095407324258,,
320348398.398399,-52.0888767067502,,
325353373.373374,-53.0172185714336,,
330358348.348349,-62.8504261329615,,
335363323.323324,-50.225743637018,,
340368298.298299,-45.2612923045668,,
345373273.273274,-48.9490030485196,,
350378248.248249,-43.2279169039322,,
355383223.223224,-41.6823472276508,,
360388198.198199,-38.3433822565946,,
365393173.173174,-39.4961826835756,,
370398148.148149,-39.7560890389024,,
375403123.123124,-40.6288036768163,,
380408098.098099,-40.1833258732113,,
385413073.073074,-41.6083503712419,,
390418048.048049,-38.3620450073798,,
395423023.023024,-37.7917657548407,,
400427997.997999,-46.0160508840475,,
405432972.972974,-48.1525615850323,,
410437947.947949,-52.0639886478122,,
415442922.922924,-59.6315679478801,,
420447897.897899,-54.9629386372459,,
425452872.872874,-43.1616376703783,,
430457847.847849,-36.8063975512053,,
435462822.822824,-36.1137836425098,,
440467797.797799,-34.6343223615194,,
445472772.772774,-33.6333456282327,,
450477747.747749,-35.9781640743834,,
455482722.722724,-36.8468145930072,,
460487697.697699,-34.8087209892161,,
465492672.672674,-36.8126167519207,,
470497647.647649,-42.9521878252006,,
475502622.622624,-41.5933236172609,,
480507597.597599,-39.21256505252,,
485512572.572574,-37.8586267343571,,
490517547.547549,-39.3149686704514,,
495522522.522524,-37.1806209902233,,
500527497.497499,-34.2128150091412,,
505532472.472474,-32.0908919016056,,
510537447.447449,-31.3251940297236,,
515542422.422424,-32.4133997696249,,
520547397.397399,-34.4098950526124,,
525552372.372374,-33.951436113139,,
530557347.347349,-33.7508675272209,,
535562322.322324,-33.9412906884474,,
540567297.297298,-36.0354411401834,,
545572272.272273,-38.554536912024,,
550577247.247248,-43.0872261280767,,
555582222.222223,-44.7133731875071,,
560587197.197198,-38.2757735042082,,
565592172.172173,-38.5220574431421,,
570597147.147148,-36.8764393186237,,
575602122.122123,-38.0656226779299,,
580607097.097098,-39.3269843588445,,
585612072.072073,-42.5712133049337,,
590617047.047048,-41.9056139483063,,
595622022.022023,-42.6120753983124,,
600626996.996998,-40.04107819929,,
605631971.971973,-36.609491312302,,
610636946.946948,-36.9244181762454,,
615641921.921923,-36.178405713428,,
620646896.896898,-36.0482279058089,,
625651871.871873,-36.1393749519587,,
630656846.846848,-40.4171961926342,,
635661821.821823,-43.5899362916997,,
640666796.796798,-41.0979757463018,,
645671771.771773,-40.1843350031503,,
650676746.746748,-40.0950953188405,,
655681721.721723,-45.8453669396381,,
660686696.696698,-48.3708457239624,,
665691671.671673,-37.6021474509618,,
670696646.646648,-34.5928951584002,,
675701621.621623,-33.8322836908342,,
680706596.596598,-34.3683894726917,,
685711571.571573,-37.5141738525866,,
690716546.546548,-39.0916432410852,,
695721521.521523,-40.9810422662791,,
700726496.496498,-39.1670315925812,,
705731471.471473,-33.0614526700215,,
710736446.446448,-31.3869620941092,,
715741421.421423,-32.2248826779212,,
720746396.396398,-33.1483432765167,,
725751371.371373,-32.9781676295876,,
730756346.346348,-33.1333673880249,,
735761321.321323,-38.7857176309752,,
740766296.296298,-39.5378185971959,,
745771271.271273,-35.6553857803652,,
750776246.246248,-35.0670559608241,,
755781221.221223,-34.5597827453022,,
760786196.196198,-34.7949236490139,,
765791171.171173,-36.1279317538941,,
770796146.146148,-37.9277527558893,,
775801121.121123,-50.4654342620819,,
780806096.096098,-39.7063010562196,,
785811071.071073,-36.5781984521115,,
790816046.046048,-35.7779508943938,,
795821021.021023,-36.8093495393226,,
800825995.995998,-39.2116898132962,,
805830970.970973,-40.3963481560106,,
810835945.945948,-41.295199294239,,
815840920.920923,-36.7197641147236,,
820845895.895898,-37.589282898098,,
825850870.870873,-37.102661959821,,
830855845.845848,-37.9435881997387,,
835860820.820823,-38.690466922677,,
840865795.795798,-41.6968277335531,,
845870770.770773,-49.3240524528195,,
850875745.745748,-50.7153146018339,,
855880720.720723,-41.3249635424594,,
860885695.695698,-38.648238836009,,
865890670.670673,-40.0385770965721,,
870895645.645648,-38.0162737084227,,
875900620.620623,-37.8332783097008,,
880905595.595598,-39.5392692411217,,
885910570.570573,-39.7746160337431,,
890915545.545548,-36.9741928952872,,
895920520.520523,-34.6663583628187,,
900925495.495498,-34.496228912887,,
905930470.470473,-36.002882208131,,
910935445.445448,-39.6447766163709,,
915940420.420423,-43.8741105200774,,
920945395.395398,-46.0884014051059,,
925950370.370373,-62.4862725203139,,
930955345.345348,-48.3517862312745,,
935960320.320323,-42.5506117600053,,
940965295.295298,-42.2585444353898,,
945970270.270273,-42.2133326706515,,
950975245.245248,-47.1189924581982,,
955980220.220223,-42.8377540105769,,
960985195.195198,-42.2222784013274,,
965990170.170173,-41.6517333361883,,
970995145.145148,-45.2078771569316,,
976000120.120123,-45.0738190313909,,
981005095.095098,-52.1488253466551,,
986010070.070073,-48.2665090119928,,
991015045.045048,-39.1445036667265,,
996020020.020023,-33.8239284466232,,
1001024994.995,-30.6041306635237,,
1006029969.96997,-29.6715911972847,,
1011034944.94495,-30.104893738028,,
1016039919.91992,-32.4260072324329,,
1021044894.8949,-34.6082692218415,,
1026049869.86987,-33.2189008441755,,
1031054844.84485,-30.7391682132059,,
1036059819.81982,-27.8838507716201,,
1041064794.7948,-25.9494669173928,,
1046069769.76977,-25.3073395819796,,
1051074744.74475,-25.9239908952741,,
1056079719.71972,-27.6574076038965,,
1061084694.6947,-30.9790382547268,,
1066089669.66967,-33.1898115893168,,
1071094644.64465,-32.5003012476802,,
1076099619.61962,-32.9933110216818,,
1081104594.5946,-35.0598892383779,,
1086109569.56957,-37.6281149118926,,
1091114544.54455,-35.9909262087189,,
1096119519.51952,-34.048804305181,,
1101124494.4945,-31.0708455909948,,
1106129469.46947,-31.3334967793204,,
1111134444.44445,-31.1326486077996,,
1116139419.41942,-32.4316490313684,,
1121144394.3944,-33.6207961193699,,
1126149369.36937,-34.1454615633369,,
1131154344.34435,-33.6408865897061,,
1136159319.31932,-33.9001888825125,,
1141164294.2943,-33.1333887774932,,
1146169269.26927,-35.4552286449861,,
1151174244.24425,-37.3391229638098,,
1156179219.21922,-39.9551284545171,,
1161184194.1942,-47.2277443896554,,
1166189169.16917,-43.7349290906426,,
1171194144.14414,-37.2954795557179,,
1176199119.11912,-36.296512933893,,
1181204094.09409,-36.5722997893451,,
1186209069.06907,-38.0667268030735,,
1191214044.04404,-39.6603826245914,,
1196219019.01902,-43.3854549468644,,
1201223993.99399,-45.4618187321423,,
1206228968.96897,-38.3881217453298,,
1211233943.94394,-44.1761622687905,,
1216238918.91892,-43.0707557005004,,
1221243893.89389,-44.1215555748813,,
1226248868.86887,-50.2510121464883,,
1231253843.84384,-44.0483363881544,,
1236258818.81882,-38.980523493948,,
1241263793.79379,-38.6720554260648,,
1246268768.76877,-39.9439691947125,,
1251273743.74374,-42.1485310601526,,
1256278718.71872,-43.3652163049114,,
1261283693.69369,-38.0084643005263,,
1266288668.66867,-34.538180688985,,
