Frequency,Attenuation,! FILETYPE CSV,
30000,-62.5309242797712,! VERSION 1.0,1
5034974.97497497,-52.6657642340748,! TIMESTAMP Tuesday, 18 February 2020 15:15:30
10039949.9499499,-48.5512823451775,! NAME Agilent Technologies,
15044924.9249249,-47.4004791509319,! MODEL N9916A,
20049899.8998999,-49.326188662255,! SERIAL MY53103049,
25054874.8748749,-55.032235222455,! FIRMWARE_VERSION A.07.32,
30059849.8498498,-65.5285992050061,! GPS_LATITUDE ,
35064824.8248248,-65.5776257750402,! GPS_LONGITUDE ,
40069799.7997998,-61.359999658075,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
45074774.7747748,-55.9593352223931,! GPS_SECS_SINCE_LAST_READ 0,
50079749.7497497,-50.6645703540521,! CHECKSUM 0542691347,
55084724.7247247,-46.2663576769981,! CORRECTION1 Rdy,
60089699.6996997,-46.942752337803,! DATA Freq,S21
65094674.6746747,-50.5060840544801,! FREQ UNIT Hz,
70099649.6496496,-53.1200463002341,! DATA UNIT dB,
75104624.6246246,-55.2817844821894,BEGIN,
80109599.5995996,-54.2612581817195,,
85114574.5745746,-50.9592175309547,,
90119549.5495495,-47.2303405482024,,
95124524.5245245,-47.0394520729215,,
100129499.499499,-54.9211776783383,,
105134474.474474,-65.2559761270463,,
110139449.449449,-57.0732769927639,,
115144424.424424,-53.6414107141541,,
120149399.399399,-47.8562044981572,,
125154374.374374,-41.8595575702929,,
130159349.349349,-36.9482085974931,,
135164324.324324,-38.3454244794246,,
140169299.299299,-42.2569606372672,,
145174274.274274,-45.3014046536209,,
150179249.249249,-45.5919207922647,,
155184224.224224,-48.344988252941,,
160189199.199199,-54.1367113626915,,
165194174.174174,-59.0950202317741,,
170199149.149149,-43.8344690856773,,
175204124.124124,-42.8262138613672,,
180209099.099099,-45.9899511553284,,
185214074.074074,-50.4566119458579,,
190219049.049049,-59.098484088449,,
195224024.024024,-57.8944386845363,,
200228998.998999,-47.8492154595981,,
205233973.973974,-42.660924031718,,
210238948.948949,-42.9644201502986,,
215243923.923924,-45.7393561795917,,
220248898.898899,-49.3324848170474,,
225253873.873874,-53.7922681364187,,
230258848.848849,-53.321623709401,,
235263823.823824,-48.2177891370008,,
240268798.798799,-43.6568203090888,,
245273773.773774,-39.5829169904866,,
250278748.748749,-40.1026989488079,,
255283723.723724,-43.3859346083027,,
260288698.698699,-47.2338685482529,,
265293673.673674,-56.352650759053,,
270298648.648649,-55.4788274288772,,
275303623.623624,-45.6128892946357,,
280308598.598599,-40.5831573876336,,
285313573.573574,-39.5455717942182,,
290318548.548549,-40.9829955238022,,
295323523.523524,-42.6828952163951,,
300328498.498499,-45.1320407978096,,
305333473.473474,-49.1844263026233,,
310338448.448449,-56.7759566944612,,
315343423.423424,-49.104059712962,,
320348398.398399,-44.0751595044522,,
325353373.373374,-43.7371245829621,,
330358348.348349,-44.8240790404467,,
335363323.323324,-47.7329620424494,,
340368298.298299,-53.6761123266904,,
345373273.273274,-60.7836130309748,,
350378248.248249,-51.5284555383683,,
355383223.223224,-44.8543850612823,,
360388198.198199,-40.7563027071126,,
365393173.173174,-40.7740228845386,,
370398148.148149,-42.5939503938612,,
375403123.123124,-43.9972863262018,,
380408098.098099,-45.4429596413183,,
385413073.073074,-44.9393131689709,,
390418048.048049,-43.1197229239487,,
395423023.023024,-42.5415986525825,,
400427997.997999,-46.8368017182491,,
405432972.972974,-57.1161019172843,,
410437947.947949,-60.3315760539984,,
415442922.922924,-57.0918416275352,,
420447897.897899,-55.560356729757,,
425452872.872874,-51.0218797611494,,
430457847.847849,-44.3851822606685,,
435462822.822824,-40.7515289042061,,
440467797.797799,-40.4104856661757,,
445472772.772774,-42.2196718125367,,
450477747.747749,-43.9785405993283,,
455482722.722724,-45.4067296242229,,
460487697.697699,-46.3328851947728,,
465492672.672674,-48.7177301082665,,
470497647.647649,-49.1499216493134,,
475502622.622624,-46.0769561349384,,
480507597.597599,-44.1525767912103,,
485512572.572574,-42.4088991233273,,
490517547.547549,-41.9103071653236,,
495522522.522524,-42.9800064721667,,
500527497.497499,-45.5443364187224,,
505532472.472474,-50.4950619471866,,
510537447.447449,-45.8572440881122,,
515542422.422424,-43.5883056718789,,
520547397.397399,-42.2283758797305,,
525552372.372374,-40.7101454941185,,
530557347.347349,-39.9093391649871,,
535562322.322324,-40.1939740927851,,
540567297.297298,-42.0211310800757,,
545572272.272273,-47.2395504020168,,
550577247.247248,-56.4837885871582,,
555582222.222223,-63.1748596935802,,
560587197.197198,-51.7845744339482,,
565592172.172173,-47.1197340977614,,
570597147.147148,-45.3764851714885,,
575602122.122123,-45.6843304753403,,
580607097.097098,-47.7086060116503,,
585612072.072073,-50.107666890217,,
590617047.047048,-48.6958098578826,,
595622022.022023,-47.1280160186001,,
600626996.996998,-45.8436894818646,,
605631971.971973,-45.4247974717219,,
610636946.946948,-45.5004766719447,,
615641921.921923,-45.5053426126682,,
620646896.896898,-44.8298668083184,,
625651871.871873,-44.3888532941635,,
630656846.846848,-52.4768547411295,,
635661821.821823,-53.6215585619145,,
640666796.796798,-49.0110064652771,,
645671771.771773,-48.037881528809,,
650676746.746748,-48.1814213023627,,
655681721.721723,-50.1613967677875,,
660686696.696698,-61.7883402036995,,
665691671.671673,-46.2240656621052,,
670696646.646648,-41.0856991477407,,
675701621.621623,-40.9928219433224,,
680706596.596598,-42.2825239061639,,
685711571.571573,-43.8661098794428,,
690716546.546548,-45.6510541954291,,
695721521.521523,-49.6696117308231,,
700726496.496498,-51.2564482228954,,
705731471.471473,-44.3234213832621,,
710736446.446448,-44.2580015377302,,
715741421.421423,-44.7239877505558,,
720746396.396398,-44.4093996724407,,
725751371.371373,-43.9302819416649,,
730756346.346348,-44.974127893077,,
735761321.321323,-52.4159660713302,,
740766296.296298,-49.0491741242588,,
745771271.271273,-42.4313557288651,,
750776246.246248,-40.9275943217328,,
755781221.221223,-40.526474863257,,
760786196.196198,-40.766509421402,,
765791171.171173,-41.6274698937821,,
770796146.146148,-43.7162428216712,,
775801121.121123,-49.7574924579274,,
780806096.096098,-46.290637503664,,
785811071.071073,-41.4762151483823,,
790816046.046048,-40.5450088052849,,
795821021.021023,-40.3947833398495,,
800825995.995998,-40.4100177343026,,
805830970.970973,-41.2312242597091,,
810835945.945948,-45.3556046773768,,
815840920.920923,-45.4900500516928,,
820845895.895898,-42.7430054662179,,
825850870.870873,-42.7470244542592,,
830855845.845848,-43.3955327736923,,
835860820.820823,-43.9504062361781,,
840865795.795798,-44.5119127048444,,
845870770.770773,-45.8966339339685,,
850875745.745748,-49.3009644630241,,
855880720.720723,-52.2352546651902,,
860885695.695698,-47.3284683888514,,
865890670.670673,-47.9799163972248,,
870895645.645648,-49.4961263780086,,
875900620.620623,-49.8556127251925,,
880905595.595598,-50.4555386852484,,
885910570.570573,-52.132084754318,,
890915545.545548,-56.884379375563,,
895920520.520523,-64.1378508251792,,
900925495.495498,-49.1717163488271,,
905930470.470473,-45.4827189065093,,
910935445.445448,-46.541261176657,,
915940420.420423,-48.4597955620266,,
920945395.395398,-50.2474249811777,,
925950370.370373,-51.9219789650984,,
930955345.345348,-53.4186662669868,,
935960320.320323,-52.4825696336856,,
940965295.295298,-50.2884398281212,,
945970270.270273,-49.4467117773103,,
950975245.245248,-49.180184828474,,
955980220.220223,-48.9424920859795,,
