Frequency,Attenuation,INFO1,INFO2
30000,-24.2296013166735,! VERSION 1.0,1
5034974.97497497,-54.6975441946857,! TIMESTAMP Tuesday, 04 February 2020 15:32:39
10039949.9499499,-55.1277152410502,! NAME Agilent Technologies,
15044924.9249249,-71.5052675177979,! MODEL N9916A,
20049899.8998999,-58.2773470750397,! SERIAL MY53103049,
25054874.8748749,-52.5086900433121,! FIRMWARE_VERSION A.07.32,
30059849.8498498,-54.1617434967793,! GPS_LATITUDE ,
35064824.8248248,-57.1029945220885,! GPS_LONGITUDE ,
40069799.7997998,-58.9885876687226,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
45074774.7747748,-57.0497729171969,! GPS_SECS_SINCE_LAST_READ 0,
50079749.7497497,-70.6201094520371,! CHECKSUM 0930732153,
55084724.7247247,-57.312072739835,! CORRECTION1 Rdy,
60089699.6996997,-55.3334189892745,! DATA Freq,S21
65094674.6746747,-52.6534514589912,! FREQ UNIT Hz,
70099649.6496496,-54.1851259952554,! DATA UNIT dB,
75104624.6246246,-53.6677469023788,BEGIN,
80109599.5995996,-48.701402408734,,
85114574.5745746,-56.0007844784828,,
90119549.5495495,-61.9608195175093,,
95124524.5245245,-50.9926918134359,,
100129499.499499,-54.1243149899885,,
105134474.474474,-55.0558525253352,,
110139449.449449,-50.9303126413152,,
115144424.424424,-55.9965807138065,,
120149399.399399,-61.0580531402648,,
125154374.374374,-59.0376630704516,,
130159349.349349,-51.8977519562638,,
135164324.324324,-54.0411396667364,,
140169299.299299,-64.9072685058422,,
145174274.274274,-51.9118749037053,,
150179249.249249,-52.0471737213282,,
155184224.224224,-65.2707493971197,,
160189199.199199,-52.8953562724634,,
165194174.174174,-52.091322678032,,
170199149.149149,-51.177511378916,,
175204124.124124,-53.6857790212571,,
180209099.099099,-52.6681462177571,,
185214074.074074,-48.3225251970799,,
190219049.049049,-58.4024996820594,,
195224024.024024,-55.82735187566,,
200228998.998999,-53.1620271021417,,
205233973.973974,-72.7158317556892,,
210238948.948949,-55.8498891669235,,
215243923.923924,-64.936226555742,,
220248898.898899,-57.0084200386465,,
225253873.873874,-55.3308975143128,,
230258848.848849,-56.7351300624607,,
235263823.823824,-69.1603596411479,,
240268798.798799,-48.6160827637406,,
245273773.773774,-53.7951826648188,,
250278748.748749,-53.993067633272,,
255283723.723724,-55.4809551247803,,
260288698.698699,-63.3325405825418,,
265293673.673674,-50.7377714281352,,
270298648.648649,-56.5207406744192,,
275303623.623624,-57.6098599837744,,
280308598.598599,-51.2468488443622,,
285313573.573574,-51.5131821274518,,
290318548.548549,-60.0013239381306,,
295323523.523524,-50.6187225551239,,
300328498.498499,-57.4048731600034,,
305333473.473474,-51.3833249332057,,
310338448.448449,-54.4264901022429,,
315343423.423424,-62.3034324770043,,
320348398.398399,-49.1716211888503,,
325353373.373374,-49.3092944492994,,
330358348.348349,-57.5664973420035,,
335363323.323324,-60.1388985240969,,
340368298.298299,-49.0702397263512,,
345373273.273274,-54.7437519155412,,
350378248.248249,-52.2268089890617,,
355383223.223224,-53.7353435075535,,
360388198.198199,-55.4978936459356,,
365393173.173174,-57.4793277974716,,
370398148.148149,-54.5144818770405,,
375403123.123124,-49.1144351198712,,
380408098.098099,-68.2376673414753,,
385413073.073074,-61.8526334488644,,
390418048.048049,-55.9533552311857,,
395423023.023024,-75.2940506653795,,
400427997.997999,-47.8078648015509,,
405432972.972974,-61.932746681921,,
410437947.947949,-48.4064838591503,,
415442922.922924,-54.1164610682096,,
420447897.897899,-50.3400959536025,,
425452872.872874,-57.567170026459,,
430457847.847849,-61.948014197531,,
435462822.822824,-55.6060569404714,,
440467797.797799,-50.3329204949619,,
445472772.772774,-53.4519549404716,,
450477747.747749,-56.842061571089,,
455482722.722724,-57.6400612468636,,
460487697.697699,-48.657547936572,,
465492672.672674,-56.672356856351,,
470497647.647649,-54.6071910432168,,
475502622.622624,-47.7130756307322,,
480507597.597599,-62.5870541063535,,
485512572.572574,-54.3890619397083,,
490517547.547549,-51.8051109069175,,
495522522.522524,-56.5237763158399,,
500527497.497499,-53.3829832610635,,
505532472.472474,-56.9504021488692,,
510537447.447449,-61.5706319192449,,
515542422.422424,-59.3815829217602,,
520547397.397399,-49.8518547628703,,
525552372.372374,-52.9118925419432,,
530557347.347349,-53.0285694359889,,
535562322.322324,-58.6414991393179,,
540567297.297298,-55.4758033700122,,
545572272.272273,-57.4647740132314,,
550577247.247248,-48.9864824805254,,
555582222.222223,-63.6558865396144,,
560587197.197198,-60.5007471713695,,
565592172.172173,-72.0179273270511,,
570597147.147148,-52.0386493818472,,
575602122.122123,-60.905371852342,,
580607097.097098,-55.2804956628118,,
585612072.072073,-56.4167215974604,,
590617047.047048,-63.6993740217674,,
595622022.022023,-56.1281491364922,,
600626996.996998,-62.640860785756,,
605631971.971973,-55.3186552088739,,
610636946.946948,-60.4143864836364,,
615641921.921923,-67.5317215840064,,
620646896.896898,-52.1968317624559,,
625651871.871873,-49.720582078482,,
630656846.846848,-51.9712604200324,,
635661821.821823,-57.8669687216454,,
640666796.796798,-49.6166899038089,,
645671771.771773,-51.896361983076,,
650676746.746748,-64.897352101296,,
655681721.721723,-51.4457823773088,,
660686696.696698,-56.6456972274668,,
665691671.671673,-48.4430287157033,,
670696646.646648,-53.7147050439868,,
675701621.621623,-53.9439458158056,,
680706596.596598,-57.5205535088779,,
685711571.571573,-47.0848459394955,,
690716546.546548,-49.2471685271005,,
695721521.521523,-55.9924286281647,,
700726496.496498,-59.3776099139509,,
705731471.471473,-54.6871913991824,,
710736446.446448,-48.4583011414328,,
715741421.421423,-54.2264480781074,,
720746396.396398,-48.1284492229384,,
725751371.371373,-51.5187603754768,,
730756346.346348,-59.2973430309632,,
735761321.321323,-50.772243377321,,
740766296.296298,-63.8448770499344,,
745771271.271273,-60.4074757683384,,
750776246.246248,-52.3596556027367,,
755781221.221223,-58.6647863820012,,
760786196.196198,-57.3570428705512,,
765791171.171173,-52.5590004061286,,
770796146.146148,-50.8822851362726,,
775801121.121123,-55.4859703469353,,
780806096.096098,-47.2138736169541,,
785811071.071073,-48.7295675102844,,
790816046.046048,-53.2036989219702,,
795821021.021023,-52.1261826557762,,
800825995.995998,-54.5197971616788,,
805830970.970973,-57.1234328580372,,
810835945.945948,-47.5463445884996,,
815840920.920923,-57.7791561484371,,
820845895.895898,-52.6200935337528,,
825850870.870873,-58.1458898846137,,
830855845.845848,-72.9350137490436,,
835860820.820823,-52.1791346557609,,
840865795.795798,-49.7947343750178,,
845870770.770773,-47.9818698674764,,
850875745.745748,-55.7170749590709,,
855880720.720723,-53.8569422429656,,
860885695.695698,-54.7552214621241,,
865890670.670673,-62.9310105003746,,
870895645.645648,-64.759009691514,,
875900620.620623,-51.9360847021821,,
880905595.595598,-52.1918271864983,,
885910570.570573,-51.8986663713003,,
890915545.545548,-51.3419102679667,,
895920520.520523,-54.758236463545,,
900925495.495498,-50.3426190445871,,
905930470.470473,-50.1073369369977,,
910935445.445448,-52.2038634926453,,
915940420.420423,-53.7015945210142,,
920945395.395398,-55.5102011708414,,
925950370.370373,-54.7669455578239,,
930955345.345348,-55.0569520049239,,
935960320.320323,-56.7532112537898,,
940965295.295298,-56.4597087649176,,
945970270.270273,-50.2234979892743,,
950975245.245248,-53.7255433649884,,
955980220.220223,-53.0226672567783,,
960985195.195198,-57.1998388459285,,
965990170.170173,-52.5431690204853,,
970995145.145148,-72.4215534324756,,
976000120.120123,-55.8927343076213,,
981005095.095098,-48.994813448019,,
986010070.070073,-52.4082212155987,,
991015045.045048,-56.2254533143097,,
996020020.020023,-56.5777405502601,,
1001024994.995,-54.2776567704978,,
1006029969.96997,-59.3702234887237,,
1011034944.94495,-49.5027385422144,,
1016039919.91992,-55.5184206045452,,
1021044894.8949,-56.3152751917282,,
1026049869.86987,-59.445718396407,,
1031054844.84485,-64.0348370329488,,
1036059819.81982,-56.3977554360535,,
1041064794.7948,-52.2238223385237,,
1046069769.76977,-48.7963316079356,,
1051074744.74475,-61.7876256029283,,
1056079719.71972,-61.3513963409193,,
1061084694.6947,-55.8209555518805,,
1066089669.66967,-63.4745443144097,,
1071094644.64465,-77.6084143738243,,
1076099619.61962,-62.4063022143744,,
1081104594.5946,-50.4093755119384,,
1086109569.56957,-54.8914627225544,,
1091114544.54455,-57.909129838253,,
1096119519.51952,-55.8815567185087,,
1101124494.4945,-55.5193584024205,,
1106129469.46947,-69.256477748805,,
1111134444.44445,-54.7427075536136,,
1116139419.41942,-46.8458686105979,,
1121144394.3944,-60.158308935636,,
1126149369.36937,-56.9593248095319,,
1131154344.34435,-68.2107806293913,,
1136159319.31932,-58.9892551331642,,
1141164294.2943,-48.8559218273094,,
1146169269.26927,-65.5963083791598,,
