Frequency,Attenuation,! FILETYPE CSV,
30000,-62.9843135410205,! VERSION 1.0,1
30970.970970971,-63.1751421626716,! TIMESTAMP Friday, 21 February 2020 18:45:43
31941.9419419419,-63.2609782541377,! NAME Agilent Technologies,
32912.9129129129,-63.6392151161796,! MODEL N9916A,
33883.8838838839,-63.8468044960654,! SERIAL MY53103049,
34854.8548548549,-64.2202189260895,! FIRMWARE_VERSION A.07.32,
35825.8258258258,-64.7155190558639,! GPS_LATITUDE ,
36796.7967967968,-65.5276962031792,! GPS_LONGITUDE ,
37767.7677677678,-65.9495666335853,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
38738.7387387387,-66.5621705834953,! GPS_SECS_SINCE_LAST_READ 0,
39709.7097097097,-67.3158551375966,! CHECKSUM 2028026248,
40680.6806806807,-68.8504834435617,! CORRECTION1 Rdy,
41651.6516516517,-69.5704747925461,! DATA Freq,S21
42622.6226226226,-70.0901589410539,! FREQ UNIT Hz,
43593.5935935936,-71.0332854429561,! DATA UNIT dB,
44564.5645645646,-71.6315227339547,BEGIN,
45535.5355355355,-72.0164191540922,,
46506.5065065065,-73.1620959710551,,
47477.4774774775,-74.2815628610014,,
48448.4484484485,-75.307999085339,,
49419.4194194194,-75.8601777912202,,
50390.3903903904,-77.4133502002695,,
51361.3613613614,-77.5498006351802,,
52332.3323323323,-78.7505135795177,,
53303.3033033033,-79.8665000492515,,
54274.2742742743,-80.1016302897584,,
55245.2452452453,-79.7949263312861,,
56216.2162162162,-80.3278046546296,,
57187.1871871872,-81.0908200823033,,
58158.1581581582,-81.1789522736619,,
59129.1291291291,-81.7219590310289,,
60100.1001001001,-82.4046277016443,,
61071.0710710711,-82.177096765761,,
62042.0420420421,-81.9024180315389,,
63013.013013013,-81.7097468747832,,
63983.983983984,-81.4027199566382,,
64954.954954955,-80.1818783076735,,
65925.9259259259,-80.3085352307715,,
66896.8968968969,-79.6207108607788,,
67867.8678678679,-78.7894090374752,,
68838.8388388389,-78.8085510431027,,
69809.8098098098,-78.6546151335387,,
70780.7807807808,-78.5781964341127,,
71751.7517517518,-78.2564948150131,,
72722.7227227227,-78.6408749385807,,
73693.6936936937,-78.476460681762,,
74664.6646646647,-78.3550360444085,,
75635.6356356357,-78.6903780253574,,
76606.6066066066,-78.289103148945,,
77577.5775775776,-78.2618145777661,,
78548.5485485486,-78.542513745536,,
