Frequency,Attenuation,! FILETYPE CSV,
30000,-38.5811754848856,! VERSION 1.0,1
5034974.97497497,-17.0364280275453,! TIMESTAMP Tuesday, 11 February 2020 14:26:00
10039949.9499499,-17.1268604890463,! NAME Agilent Technologies,
15044924.9249249,-17.3547109020175,! MODEL N9916A,
20049899.8998999,-17.7133049021301,! SERIAL MY53103049,
25054874.8748749,-18.1463970097446,! FIRMWARE_VERSION A.07.32,
30059849.8498498,-18.541934379183,! GPS_LATITUDE ,
35064824.8248248,-18.8316962360583,! GPS_LONGITUDE ,
40069799.7997998,-19.0550152620281,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
45074774.7747748,-19.2722007372769,! GPS_SECS_SINCE_LAST_READ 0,
50079749.7497497,-19.5683378036316,! CHECKSUM 1295344912,
55084724.7247247,-19.9975194745717,! CORRECTION1 Rdy,
60089699.6996997,-20.4333007901435,! DATA Freq,S21
65094674.6746747,-20.8139898288503,! FREQ UNIT Hz,
70099649.6496496,-21.0286447535506,! DATA UNIT dB,
75104624.6246246,-20.9996509182106,BEGIN,
80109599.5995996,-20.9027133393199,,
85114574.5745746,-21.0755845818115,,
90119549.5495495,-21.4816281809184,,
95124524.5245245,-21.9727046798393,,
100129499.499499,-22.3116193535634,,
105134474.474474,-22.2834933859183,,
110139449.449449,-21.9568469605226,,
115144424.424424,-21.6728057662056,,
120149399.399399,-21.6969560591532,,
125154374.374374,-22.0396861394267,,
130159349.349349,-22.4320846411624,,
135164324.324324,-22.5361591854258,,
140169299.299299,-22.2961666566455,,
145174274.274274,-21.8802133510633,,
150179249.249249,-21.4936170951256,,
155184224.224224,-21.4316657489528,,
160189199.199199,-21.5710234429944,,
165194174.174174,-21.6783195315882,,
170199149.149149,-21.6777105456376,,
175204124.124124,-21.4159586402899,,
180209099.099099,-21.0982727109141,,
185214074.074074,-20.9499212308152,,
190219049.049049,-21.0982947415835,,
195224024.024024,-21.5234648275523,,
200228998.998999,-21.9924135738416,,
205233973.973974,-22.2969884350987,,
210238948.948949,-22.3581299799321,,
215243923.923924,-22.2644342881596,,
220248898.898899,-22.1916143140678,,
225253873.873874,-22.4796950337485,,
230258848.848849,-23.1300810175606,,
235263823.823824,-23.9334731530396,,
240268798.798799,-24.6576998775334,,
245273773.773774,-25.046096173635,,
250278748.748749,-25.1413012179974,,
255283723.723724,-25.2763506068888,,
260288698.698699,-25.8187824763265,,
265293673.673674,-26.7550365060689,,
270298648.648649,-27.7571362832689,,
275303623.623624,-28.447251062536,,
280308598.598599,-28.5608267722313,,
285313573.573574,-28.232993200366,,
290318548.548549,-27.9878898746834,,
295323523.523524,-28.1558296495836,,
300328498.498499,-29.0693342351787,,
305333473.473474,-29.9832744998184,,
310338448.448449,-30.5648763457582,,
315343423.423424,-30.5705222903113,,
320348398.398399,-30.2119103006555,,
325353373.373374,-29.7730891654083,,
330358348.348349,-30.011370049126,,
335363323.323324,-30.9267489236585,,
340368298.298299,-31.8468049194199,,
345373273.273274,-32.4254281169666,,
350378248.248249,-32.4008746637653,,
355383223.223224,-31.9413153882972,,
360388198.198199,-31.1997267286958,,
365393173.173174,-30.7252040272345,,
370398148.148149,-30.7576740028807,,
375403123.123124,-31.0085144581657,,
380408098.098099,-30.9735802476246,,
385413073.073074,-30.7367755529538,,
390418048.048049,-30.1843016328581,,
395423023.023024,-29.7309814385276,,
400427997.997999,-29.8153496815973,,
405432972.972974,-30.4186939513577,,
410437947.947949,-30.919937431735,,
415442922.922924,-31.2761120754539,,
420447897.897899,-31.0248161507579,,
425452872.872874,-30.3706986181191,,
430457847.847849,-29.4432183941347,,
435462822.822824,-28.6896076935186,,
440467797.797799,-28.4795791657137,,
445472772.772774,-28.6688158529546,,
450477747.747749,-28.9307219347351,,
455482722.722724,-28.9661347428997,,
460487697.697699,-28.7185123245895,,
465492672.672674,-28.294754799195,,
470497647.647649,-28.2414471081996,,
475502622.622624,-28.878769037478,,
480507597.597599,-29.8211550562047,,
485512572.572574,-30.6185104432875,,
490517547.547549,-31.0699944450734,,
495522522.522524,-30.9779248040039,,
500527497.497499,-30.4482729848025,,
505532472.472474,-29.8730635844074,,
510537447.447449,-29.8785306916312,,
515542422.422424,-30.5197064080936,,
520547397.397399,-31.3882648290375,,
525552372.372374,-31.8448255581592,,
530557347.347349,-31.9376757869571,,
535562322.322324,-31.7248758955509,,
540567297.297298,-31.8888332082012,,
545572272.272273,-32.7823359897945,,
550577247.247248,-33.979470382713,,
555582222.222223,-35.2886849454955,,
560587197.197198,-35.5827240462088,,
565592172.172173,-35.534105862808,,
570597147.147148,-34.9643281707608,,
575602122.122123,-34.5343708870665,,
580607097.097098,-34.7504839873579,,
585612072.072073,-35.5110388389583,,
590617047.047048,-36.3615827602734,,
595622022.022023,-36.9777860623804,,
600626996.996998,-36.91181653855,,
605631971.971973,-36.5677274663407,,
610636946.946948,-36.0773651056363,,
615641921.921923,-36.2174977975247,,
620646896.896898,-36.6981864438638,,
625651871.871873,-37.3595758582784,,
630656846.846848,-37.7548768104121,,
635661821.821823,-37.6963014124694,,
640666796.796798,-37.221611586981,,
645671771.771773,-36.5843956546018,,
650676746.746748,-36.320243303134,,
655681721.721723,-36.5996909571626,,
660686696.696698,-37.1223972415696,,
665691671.671673,-37.5462120764497,,
670696646.646648,-37.4649335774738,,
675701621.621623,-37.0370339992164,,
680706596.596598,-36.4420797129297,,
685711571.571573,-35.8056181817589,,
690716546.546548,-35.4044116910405,,
695721521.521523,-35.5262727289355,,
700726496.496498,-35.6869065542573,,
705731471.471473,-35.5003053354159,,
710736446.446448,-34.9424605496646,,
715741421.421423,-34.2600224206347,,
720746396.396398,-33.6622438890144,,
