Frequency,Attenuation,INFO1,INFO2
30000,-25.167970142367,! FILETYPE CSV,
5034974.97497497,-7.07451539621226,! VERSION 1.0,1
10039949.9499499,-7.03026594181052,! TIMESTAMP Tuesday, 04 February 2020 15:43:45
15044924.9249249,-7.07672549409474,! NAME Agilent Technologies,
20049899.8998999,-7.10781104234894,! MODEL N9916A,
25054874.8748749,-7.13471445400635,! SERIAL MY53103049,
30059849.8498498,-7.14697418797151,! FIRMWARE_VERSION A.07.32,
35064824.8248248,-7.13127936164982,! GPS_LATITUDE ,
40069799.7997998,-7.10649671582954,! GPS_LONGITUDE ,
45074774.7747748,-7.05021613310173,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
50079749.7497497,-6.9901313225132,! GPS_SECS_SINCE_LAST_READ 0,
55084724.7247247,-6.95950512067415,! CHECKSUM 1371309430,
60089699.6996997,-6.90569725509338,! CORRECTION1 Rdy,
65094674.6746747,-6.84074651429161,! DATA Freq,S21
70099649.6496496,-6.78772089044399,! FREQ UNIT Hz,
75104624.6246246,-6.74426619643292,! DATA UNIT dB,
80109599.5995996,-6.69219817484525,BEGIN,
85114574.5745746,-6.6439371018863,,
90119549.5495495,-6.60566072034549,,
95124524.5245245,-6.61186637902838,,
100129499.499499,-6.57454770691051,,
105134474.474474,-6.58353918098015,,
110139449.449449,-6.55848769745079,,
115144424.424424,-6.5787576250804,,
120149399.399399,-6.58688361107109,,
125154374.374374,-6.62015887233511,,
130159349.349349,-6.6488063190294,,
135164324.324324,-6.67102103651629,,
140169299.299299,-6.7079801162219,,
145174274.274274,-6.74815952220248,,
150179249.249249,-6.78788881991338,,
155184224.224224,-6.83791608702605,,
160189199.199199,-6.88975183113923,,
165194174.174174,-6.93163036441786,,
170199149.149149,-6.97536069219265,,
175204124.124124,-7.01466874106899,,
180209099.099099,-7.05202421548543,,
185214074.074074,-7.08170159231445,,
190219049.049049,-7.1001595296491,,
195224024.024024,-7.12389856024372,,
200228998.998999,-7.13633868515767,,
205233973.973974,-7.15590304195897,,
210238948.948949,-7.15120330907385,,
215243923.923924,-7.15649150800111,,
220248898.898899,-7.16080707943278,,
225253873.873874,-7.12616938332566,,
230258848.848849,-7.10547860380748,,
235263823.823824,-7.09721947979517,,
240268798.798799,-7.06632700489261,,
245273773.773774,-7.05350279414125,,
250278748.748749,-6.99682550967038,,
255283723.723724,-6.95019207013771,,
