Frequency,Attenuation,! FILETYPE CSV,
30000,-23.6765899589448,! VERSION 1.0,1
30970.970970971,-25.9079618366366,! TIMESTAMP Wednesday, 05 February 2020 16:44:27
31941.9419419419,-24.6316760999293,! NAME Agilent Technologies,
32912.9129129129,-26.474627288468,! MODEL N9916A,
33883.8838838839,-25.3517677223966,! SERIAL MY53103049,
34854.8548548549,-25.4561494020138,! FIRMWARE_VERSION A.07.32,
35825.8258258258,-24.0641119384688,! GPS_LATITUDE ,
36796.7967967968,-24.1144429025881,! GPS_LONGITUDE ,
37767.7677677678,-25.1344169192179,! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
38738.7387387387,-25.1360957288518,! GPS_SECS_SINCE_LAST_READ 0,
39709.7097097097,-24.2797089807363,! CHECKSUM 0778395544,
40680.6806806807,-24.3098932336561,! CORRECTION1 Rdy,
41651.6516516517,-24.4961266726104,! DATA Freq,S21
42622.6226226226,-24.023465193908,! FREQ UNIT Hz,
43593.5935935936,-24.1306033009138,! DATA UNIT dB,
44564.5645645646,-24.2709009013835,BEGIN,
45535.5355355355,-24.3976941080202,,
46506.5065065065,-23.4158908976217,,
47477.4774774775,-23.9288386711758,,
48448.4484484485,-23.7978110468371,,
49419.4194194194,-23.5412244597572,,
50390.3903903904,-23.373381800572,,
51361.3613613614,-23.1896732087977,,
52332.3323323323,-23.0220705095936,,
53303.3033033033,-22.6520921269839,,
54274.2742742743,-22.8538760418574,,
55245.2452452453,-22.4916334304519,,
56216.2162162162,-22.4036523804428,,
57187.1871871872,-22.1425447852306,,
58158.1581581582,-22.2279029549334,,
59129.1291291291,-22.2420843901235,,
60100.1001001001,-21.9721441873086,,
61071.0710710711,-21.9580814639721,,
62042.0420420421,-21.6833820021703,,
63013.013013013,-21.4432584065312,,
63983.983983984,-21.5489892496199,,
64954.954954955,-21.3671754089685,,
65925.9259259259,-21.1262304628268,,
66896.8968968969,-20.9993245387044,,
67867.8678678679,-20.706656489541,,
68838.8388388389,-20.7026639351574,,
69809.8098098098,-20.693516525243,,
70780.7807807808,-20.5127419779136,,
71751.7517517518,-20.474215332571,,
72722.7227227227,-20.0677862276487,,
73693.6936936937,-20.0427124962416,,
74664.6646646647,-19.9575232126302,,
75635.6356356357,-19.956109087071,,
76606.6066066066,-19.7954252700951,,
77577.5775775776,-19.7341684435214,,
78548.5485485486,-19.4540491333922,,
79519.5195195195,-19.5005770364239,,
80490.4904904905,-19.3474023838584,,
81461.4614614615,-19.20952463505,,
82432.4324324325,-19.057384067765,,
83403.4034034034,-18.9193522218013,,
84374.3743743744,-18.934751162598,,
85345.3453453454,-18.6854697234157,,
86316.3163163163,-18.5776339412799,,
87287.2872872873,-18.6329259958977,,
88258.2582582583,-18.383628426686,,
89229.2292292293,-18.4092033000348,,
90200.2002002002,-18.2819645037969,,
91171.1711711712,-18.1781893049789,,
92142.1421421422,-17.9852899145399,,
93113.1131131131,-17.9135342670044,,
94084.0840840841,-17.8045761423613,,
95055.0550550551,-17.6762729571141,,
96026.0260260261,-17.6797577230989,,
96996.996996997,-17.5229178761526,,
97967.967967968,-17.4338325715459,,
98938.938938939,-17.2915170396518,,
99909.9099099099,-17.1778310314081,,
100880.880880881,-17.0911406680986,,
101851.851851852,-17.0927417895945,,
102822.822822823,-16.9205016013614,,
103793.793793794,-16.8851461036372,,
104764.764764765,-16.8455488870935,,
105735.735735736,-16.7087092770696,,
106706.706706707,-16.6459854396136,,
107677.677677678,-16.5603792742892,,
108648.648648649,-16.4768023435165,,
109619.61961962,-16.2968942845499,,
110590.590590591,-16.2997184597935,,
111561.561561562,-16.1212152571784,,
112532.532532533,-16.109309285284,,
113503.503503504,-16.0277374549882,,
114474.474474475,-15.9367705975467,,
115445.445445445,-15.8105641601592,,
116416.416416416,-15.7911816661264,,
117387.387387387,-15.6775401157058,,
118358.358358358,-15.6017181056588,,
119329.329329329,-15.5637208035217,,
120300.3003003,-15.5281943120276,,
121271.271271271,-15.3846584517866,,
122242.242242242,-15.3195337138076,,
123213.213213213,-15.2618273319987,,
124184.184184184,-15.25147156229,,
125155.155155155,-15.1065785604709,,
126126.126126126,-15.0118329641588,,
127097.097097097,-14.982911799521,,
128068.068068068,-14.8741909945646,,
129039.039039039,-14.8583750620201,,
130010.01001001,-14.8111383674794,,
130980.980980981,-14.7522652591345,,
131951.951951952,-14.6943862168728,,
132922.922922923,-14.6158666134254,,
133893.893893894,-14.4790123902362,,
134864.864864865,-14.4469644836374,,
135835.835835836,-14.3829727258819,,
136806.806806807,-14.3054244152496,,
137777.777777778,-14.2583388577817,,
